星期,xīngqī (week)
足球,zúqiú (soccer)
比赛,bǐsài (match; competition)
去,qù (to go)
看,kàn (to look at; to see; to read)
星期几,xīngqī jǐ (what day is it?)
什么时候,shénme shíhou (when?)
星期三,xīngqī sān (Wednesday)
晚上,wǎnshang (night; PM)
点钟,diǎn zhōng (O'clock (hour unit of time))
半,bàn (half)
见,jiàn (to meet, to see)
吧,ba (indicates suggestion)
现在,xiànzài (now)
还没有,hái méi yǒu (not yet, still have not)
来,lái (to come)
差不多,chábuduō (almost; about; around)
刻,kè (quarter of an hour)
对不起,duìbuqǐ (sorry)
没关系,méi guānxi (it's ok; it doesnt matter)
开始,kāishǐ (to begin; beginning)
走,zǒu (to go; to leave)
分,fēn (minute)
秒,miǎo (second)
早上,zǎoshang (early morning; AM)
上午,shángwǔ (morning)
中午,zhōngwǔ (noon)
下午,xiàwǔ (afternoon; PM)
小时,xiǎoshí (hour)
钟头,zhōngtóu (hour)
时间,shíjiān (time)
零,líng (zero)
不好意思,bù hǎoyìsi (sorry; excuse me)
没有问题,méi yǒu wèntí (no problem)
没事,méi shì (no problem; not a bother)
不客气,bú kèqi (you're welcome)
篮球,lánqiú (basketball)
橄榄球,gǎnlǎnqiú (rugby/football)
棒球,bàngqiú (baseball)
